en,de,seq2seq_attention_prediction,transformer_prediction
A team of cyclists rounds a bend while nearby spectators cheer and take photographs.,Ein Team von Radfahrern fährt um die Kurve während in Zuschauer der Nähe jubeln und Fotos machen.,"eine team , die an einem baum und und , während sie dabei .","Ein Team von Radfahrern rundet eine Kurve ab, während die Zuschauer in der Nähe jubeln und fotografieren."
A boy at a gun range aims and shoots.,Ein Junge zielt und schießt auf einem Schießstand.,"ein junge , ein paar und und , wie er .",Ein Junge auf einem Schießstand zielt und schießt.
A man on a scaffold in front of a house is smiling and posing for the photographer.,Ein Mann auf einem Gerüst vor einem Haus lächelt und posiert für den Fotografen.,ein mann auf einem vor vor einem und und posiert für für .,Ein Mann auf einem Gerüst vor einem Haus lächelt und posiert für den Fotografen.
A man and a woman in white shirts are hugging each other.,Ein Mann und eine Frau in weißen Shirts umarmen sich.,ein mann und eine frau in weiß gekleidet stehen einander .,Ein Mann und eine Frau in weißen Hemden umarmen sich gegenseitig.
Two people are sitting fishing on striped beach chairs in a body of water.,Zwei Personen sitzen auf gestreiften Liegestühlen und angeln in einem Gewässer.,zwei personen sitzen auf einem gestreiften und und auf einem gewässer .,Zwei Leute sitzen auf gestreiften Strandstühlen in einem Körper aus Wasser angeln.
Two small dogs follow a larger dog with a tennis ball,Zwei kleine Hunde folgen einem größeren Hund mit einem Tennisball,zwei kleine hunde ziehen einen einem hund mit einem tennisball .,Zwei kleine Hunde folgen einem größeren Hund mit einem Tennisball
A blond girl sleeps on a brown couch.,Ein blondes Mädchen schläft auf einer braunen Couch.,ein blondes mädchen schläft auf braunes braunen .,Ein blondes Mädchen schläft auf einer braunen Couch.
A man on his wedding day.,Ein Mann an seinem Hochzeitstag.,ein mann auf seinem seinem an einem sonnigen tag .,Ein Mann an seinem Hochzeitstag.
A man in a red shirt is about to eat a taco.,"Ein Mann in einem roten Hemd schickt sich an, einen Taco zu essen.","ein mann in einem roten hemd , um einen einen zu . .",Ein Mann in einem roten Hemd wird gleich einen Taco essen.
A man in a black shirt and jeans standing on the sidewalk looking at the camera.,Ein Mann in einem schwarzen Hemd und Jeans steht auf dem Gehsteig und blickt in die Kamera.,ein mann in einem schwarzen hemd und jeans jeans auf dem gehweg und blickt auf die kamera .,"Ein Mann in einem schwarzen Hemd und Jeans, der auf dem Bürgersteig steht und die Kamera anschaut."
A young girl in a pink shirt is on a beach running toward the ocean.,Ein junges Mädchen in einem pinken Oberteil ist am Strand und läuft in Richtung des Ozeans.,ein junges mädchen in einem rosa oberteil auf strand strand .,"Ein junges Mädchen in einem rosa Hemd ist an einem Strand, der in Richtung Meer läuft."
Two children cross a small brook using a stone bridge.,Zwei Kinder überqueren einen kleinen Bach über eine Steinbrücke.,"zwei kinder , einen kleinen kleines , während ein . .",Zwei Kinder überqueren einen kleinen Bach mit einer Steinbrücke.
Two women in shorts run down a beach along the water.,Zwei Frauen in Shorts laufen auf einem Strand entlang des Wassers.,zwei frauen in shorts laufen am strand entlang .,Zwei Frauen in Shorts laufen einen Strand entlang des Wassers.
A hispanic woman is using a outdoors wok to cook.,Eine hispanische Frau kocht im Freien in einem Wok.,"eine frau frau einen freien freien , um zu . .",Eine hispanische Frau kocht mit einem Wok im Freien.
A brown dog about to catch a green Frisbee.,"Ein brauner Hund ist kurz davor, einen Frisbee zu fangen.","ein brauner hund , der ein frisbee zu fangen frisbee zu fangen .","Ein brauner Hund ist dabei, einen grünen Frisbee zu fangen."
A young lady doing yoga on the beach.,Eine junge Dame macht Yoga am Strand.,eine junge frau macht am strand strand .,Eine junge Dame macht Yoga am Strand.
Multiple people in a park eating at a picnic table,Mehrere Menschen essen an einem Picknicktisch im Park.,einige personen in einem park an einem tisch an einer tisch .,Mehrere Menschen in einem Park essen an einem Picknicktisch
A man talks on the phone with his feet up.,Ein Mann telefoniert mit hochgelegten Füßen.,ein mann telefoniert auf der küste und mit seinem handy .,Ein Mann telefoniert mit den Füßen.
A man in a pink shirt is sitting in the grass and a ball is in the air.,Ein Mann in einem pinken Hemd sitzt auf dem Gras und ein Ball ist in der Luft.,ein mann in einem rosa oberteil und gras und einem ball in der luft .,Ein Mann in einem rosa Hemd sitzt im Gras und ein Ball ist in der Luft.
A boy is playing checkers with an adult shown off-screen while a girl looks on.,Ein Junge spielt mit einem Erwachsenen außerhalb des Bildes Dame während ein Mädchen zusieht.,"ein junge spielt auf einem jungen , während ein anderer , während er mädchen zusieht .","Ein Junge spielt Dame mit einem Erwachsenen, der auf dem Bildschirm gezeigt wird, während ein Mädchen anschaut."
In a outdoor market two men shovel snow and slush out of the path.,Zwei Männer schaufeln auf einem Freiluftmarkt den Weg von Schnee und Matsch frei.,"zwei in in einem markt , zwei mit einem und und blicken auf dem weg .",In einem Outdoor-Markt schaufeln zwei Männer Schnee und slush aus dem Weg.
A crackhead is pretending to keep his hands warm but actually he is smoking crack.,"Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack.","ein polizist versucht , seine hände , um damit zu sein .","Ein Crackkopf tut so, als würde er seine Hände warm halten, aber eigentlich raucht er Crack."
A young female artists paints an image of a woman on a wall.,Eine junge Künstlerin malt ein Bild einer Frau auf eine Wand.,eine junge frau schreibt sich einer frau auf einer mauer .,Eine junge Künstlerin malt ein Bild einer Frau an einer Wand.
A young man about to throw a football.,Ein junger Mann wirft einen Football.,"ein junger mann , der versucht , um einen football .","Ein junger Mann, der gerade Fußball spielt."
A young man walking with another young man glances back at three girls they just passed,"Ein junger Mann, der mit einem weiteren jungen Mann unterwegs ist, blickt sich nach drei Mädchen um, an denen sie gerade vorbeigegangen sind.","ein junger mann geht mit anderen mann anderen jungen , die drei mädchen mädchen .","Ein junger Mann, der mit einem anderen jungen Mann geht, blickt auf drei Mädchen zurück, die sie gerade passiert haben."
A girl in karate uniform breaking a stick with a front kick.,Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,ein mädchen in uniform uniform einen stock stock mit einem fußtritt .,Ein Mädchen in Karate-Uniform bricht einen Stock mit einem Front-Kick.
Busy Asian mall with paper lanterns and shoppers.,Geschäftiges asiatisches Einkaufszentrum mit Papierlaternen und Einkäufern.,asiatische asiatische mit mit und und zusammen .,Beschäftigte asiatische Mall mit Papierlaternen und Shopper.
"A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.","Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.","ein junge in einem roten versucht , , während in der luft und versucht .","Ein Junge in einer roten Uniform versucht zu vermeiden, zu Hause Teller, während der Catcher in der blauen Uniform versucht, ihn zu fangen."
This band is getting ready to perform in front of an audience at church.,Diese Band bereitet sich auf einen Auftritt vor Publikum in einer Kirche vor.,eine band bereitet sich vor vor einem einer . .,"Diese Band macht sich bereit, vor einem Publikum in der Kirche aufzutreten."
A woman puts her arm on a person sitting in a wheelchair.,Eine Frau legt den Arm um eine Person im Rollstuhl.,eine frau mit ihren arm auf einem einem in einer sitzt .,"Eine Frau legt ihren Arm auf eine Person, die im Rollstuhl sitzt."
A wakeboarder performs a flip while being towed at high speed.,Ein Wakeboarder macht einen Salto während er bei hoher Geschwindigkeit an einem Seil gezogen wird.,"ein polizist macht ein salto , während während er .","Ein Wakeboarder führt einen Flip durch, während er mit hoher Geschwindigkeit abgeschleppt wird."
A man grilling meat on an outdoor grilling pit.,"Ein Mann, der über einem Grill im Freien Fleisch grillt.",ein mann grillt auf einer freiluftbühne auf einer stange .,Ein Mann grillt Fleisch auf einem Grillplatz im Freien.
A little girl is pushing her scooter through a grassy tree lined field.,Ein kleines Mädchen schiebt seinen Roller über eine Wiese mit Bäumen.,ein kleines mädchen schiebt ihre durch durch einen grasbewachsenen über .,"Ein kleines Mädchen schiebt ihren Roller durch ein grasbewachsenes, baumgesäumtes Feld."
A happy woman is preparing a refreshment at a coffee shop.,Eine glückliche Frau bereitet in einem Coffee-Shop eine Erfrischung zu.,eine glückliche frau bereitet sich bei einem kaffee kaffee .,Eine glückliche Frau bereitet eine Erfrischung in einem Café vor.
People walking down the street with a street vendor.,Menschen gehen auf einer Straße mit einem Straßenhändler.,leute gehen die straße straße entlang .,"Leute, die mit einem Straßenverkäufer die Straße runtergehen."
Four girls and a lady learning how to do some crafts.,Vier Mädchen und eine Frau lernen zu basteln.,vier mädchen und eine frau singen ein seil .,"Vier Mädchen und eine Dame lernen, wie man einige Handwerk."
Two men wearing swim trunks jump in the air at a moderately populated beach.,Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,zwei männer in badehose springen in die luft bei einem luft .,"Zwei Männer, die Badehosen tragen, springen an einem mäßig bevölkerten Strand in die Luft."
A lady with tattoos is taking a picture of a painting with her smartphone.,Eine Frau mit Tattoos macht mit ihrem Handy ein Foto von einem Gemälde.,eine dame mit tätowierungen macht ein foto von einem mit graffitis . .,Eine Frau mit Tattoos macht mit ihrem Smartphone ein Bild von einem Gemälde.
A man in Brazil giving an informal talk to young adults.,Ein Mann in Brasilien unterhält sich mit jungen Erwachsenen.,"ein mann in einem elmo , eine zu zu . .",Ein Mann in Brasilien hielt ein informelles Gespräch mit jungen Erwachsenen.
An old woman working at a loom making cloth.,Eine alte Frau sitzt an einem Webstuhl und stellt Stoff her.,eine alte frau arbeitet an einem webstuhl an einem webstuhl .,"Eine alte Frau, die an einem Webstuhl arbeitet und Stoff herstellt."
"Three men are standing on a stage, one is wearing clown makeup and holding a guitar.","Drei Männer stehen auf einer Bühne, einer von ihnen trägt Clown-Makeup und hält eine Gitarre.","drei männer stehen auf einer bühne , einer person und und hält eine gitarre .","Drei Männer stehen auf einer Bühne, einer trägt Clown Make-up und hält eine Gitarre."
An elderly person is crossing a street with an umbrella in their hands.,Eine ältere Person überquert die Straße mit einem Regenschirm in der Hand.,eine ältere person mit einer straße mit einer urbanen .,Ein älterer Mensch überquert eine Straße mit einem Regenschirm in den Händen.
The lady wearing black rimmed glasses and a yellow sweater jacket looks confused as she sits on the tan covered bench.,Die Dame mit der schwarz gerahmten Brille und der gelben Sweatjacke blickt verwirrt während sie auf der braunen Bank sitzt.,"eine dame mit schwarz-grauem und und gelber jacke , jacke , auf dem schoß sitzt auf dem boden .","Die Dame trägt schwarz gerandete Brille und eine gelbe Pulloverjacke sieht verwirrt aus, als sie auf der bräunlich überdachten Bank sitzt."
A surfer who fell off his surfboard in the ocean while trying to ride a wave.,"Ein Surfer, der im Ozean beim Versuch, auf einer Welle zu reiten, von seinem Brett gefallen ist.","ein surfer , die seine in seinem im , während er versucht versucht .","Ein Surfer, der von seinem Surfbrett im Ozean fiel, während er versuchte, eine Welle zu reiten."
A baby girl eats a cookie while seated in a highchair and wearing a bib.,Ein Baby sitzt mit Lätzchen in einem Hochstuhl und isst einen Keks .,"ein baby mädchen , eine tasse , während und und ein in einem rot-weißen .","Ein kleines Mädchen isst einen Keks, während es in einem Hochstuhl sitzt und ein Lätzchen trägt."
A group of mostly asian children sitting at cubicles in blue chairs.,Eine Gruppe überwiegend asiatischer Kinder sitzt in Arbeitsnischen verteilt auf blauen Stühlen.,eine gruppe von männern sitzt in stühlen stühlen in blau blau .,"Eine Gruppe meist asiatischer Kinder, die in Kabinen in blauen Stühlen sitzen."
A boy stands with three girls.,Ein Junge steht mit drei Mädchen.,ein junge steht mit drei drei mädchen .,Ein Junge steht mit drei Mädchen.
"A view of a pedestrian thoroughfare, featuring a man in a black apron and a white baseball cap standing in the middle of the image.","Ein Ausblick auf eine Fußgängerzone mit einem Mann in einer schwarzen Schürze und weißen Baseballmütze, der in der Mitte des Bildes steht.",ein eines mannes mit einem mann in einem schwarzen und und weißen weißen steht im hintergrund .,"Ein Blick auf eine Fußgängerzone mit einem Mann in einer schwarzen Schürze und einer weißen Baseballkappe, die in der Mitte des Bildes steht."
A dog is jumping through a fiery obstacle.,Ein Hund springt durch ein brennendes Hindernis.,ein hund springt durch einen schneebedeckten .,Ein Hund springt durch ein feuriges Hindernis.
"A woman in a pink sweater and an apron, cleaning a table with a sponge.",Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,eine frau in einem rosa pullover und schürze schürze mit einem tisch mit .,"Eine Frau in einem rosa Pulli und einer Schürze, die einen Tisch mit einem Schwamm putzt."
Several men standing around an antique race car,Mehrere Männer stehen um ein antikes Rennauto herum.,mehrere männer stehen um einen innenbasketballkorb .,Mehrere Männer stehen um ein antikes Rennauto herum
Two men stop to chat on the sidewalk as a car passes by.,Zwei Männer unterhalten sich auf dem Gehsteig während ein Auto vorbeifährt.,"zwei männer versuchen auf dem bürgersteig auf dem bürgersteig , während sie .","Zwei Männer halten an, um auf dem Bürgersteig zu plaudern, wenn ein Auto vorbeifährt."
A runner scrambles for yardage while being brought down by two tacklers.,"Ein Runner versucht, Extra-Yards zu machen während er von zwei Tacklern zu Boden gebracht wird.","ein läufer beobachtet für , während er von zwei von zwei personen .","Ein Läufer kriecht nach Yardage, während er von zwei Angreifern abgeschossen wird."
"A male in a suit holding a beverage in a cup walking down the sidewalk, next to a city bus.",Ein Mann im Anzug hält ein Getränk in einem Becher während er auf dem Gehweg an einem städtischen Bus vorbeigeht.,"ein mann in einem anzug geht in einem geht an einer straße entlang , die straße entlang .","Ein Mann in einem Anzug, der ein Getränk in einem Becher hält, der den Bürgersteig entlang läuft, neben einem Stadtbus."
A crowd on a busy daytime street.,Eine Menschenmenge auf einer geschäftigen Straße bei Tag.,eine menschenmenge auf belebten belebten straße .,Eine Menge auf einer belebten Tagesstraße.
A woman in black is holding something in her mouth.,Ein Frau in Schwarz hält etwas im Mund.,eine frau in schwarz hält etwas etwas in ihrem mund .,Eine Frau in Schwarz hält etwas in ihrem Mund.
A group of men using logs to push a boat out of the water.,"Eine Gruppe von Männern verwendet Baumstämme, um ein Boot aus dem Wasser zu schieben.",eine gruppe von männern männern am zum aus einem boot aus dem wasser .,"Eine Gruppe von Männern benutzt Logs, um ein Boot aus dem Wasser zu schieben."
Young girl enjoying herself as she makes a snow angel.,Ein junges Mädchen hat Spaß während es einen Schneeengel macht.,"ein junges mädchen , während sie als sie auf einer schneebedeckten .","Junges Mädchen amüsiert sich, wie sie einen Schneeengel macht."
A man in a white shirt and apron cuts up a bird.,Ein Mann in einem weißen Shirt und einer Schürze zerlegt einen Vogel.,ein mann in einem weißen hemd und schürze auf einen vogel .,Ein Mann in einem weißen Hemd und Schürze schneidet einen Vogel.
Two men sitting in a restaurant.,Zwei Männer sitzen in einem Restaurant.,zwei männer sitzen in einem restaurant .,Zwei Männer sitzen in einem Restaurant.
Two young girls run on a sidewalk outside of a brick building with banners on it.,Zwei junge Mädchen rennen auf einem Gehsteig vor einem Ziegelgebäude mit Plakaten.,zwei kleine mädchen auf einem bürgersteig vor einem gehweg mit gebäude mit .,Zwei junge Mädchen laufen auf einem Bürgersteig außerhalb eines Ziegelgebäudes mit Bannern darauf.
"A child leans over a display made up of blue and yellow plastic, while an adult looks on.",Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.,"ein kind , das ein einem eine von , von blauen blauen und und .","Ein Kind lehnt sich über ein Display aus blauem und gelbem Kunststoff, während ein Erwachsener anschaut."
"The two dogs, one with a tennis ball in its mouth, are running through tall grass.","Die zwei Hunde, einer mit einem Tennisball im Maul, laufen durch hohes Gras.","zwei beiden hunde , einer mit einem einem , mit einer grünen und und im maul .","Die beiden Hunde, einer mit einem Tennisball im Mund, laufen durch hohes Gras."
A panting brown dog walking on the grass.,Ein hechelnder brauner Hund geht auf dem Gras.,ein klatschnasser hund läuft auf gras gras .,"Ein keuchender brauner Hund, der auf dem Gras herumläuft."
A man wearing a white shirt is looking out a window of a metal construction.,Ein Mann in einem weißen Hemd blickt durch ein Fenster einer Metallkonstruktion.,ein mann in einem weißen hemd schaut aus einer fenster .,"Ein Mann, der ein weißes Hemd trägt, schaut aus einem Fenster einer Metallkonstruktion."
